     476                        ;468 currents for CBs and Iron-yoke     200 circuler filament currents for Iron-yoke
    1     .0700000000000     .7859355101041 -5.661080936805900E+03
    2     .0700000000000     .7578065303122 -2.183427907746610E+04      created by Mitsushi Abe    2018/10/25
    3     .0753224494796     .7350000000000 -5.067516025375191E+04         KEK-IPNS
    4     .1034514292714     .7350000000000 -3.917971647314517E+04
    5     .1315804090633     .7350000000000  2.375721496112485E+04     Magnet is dsicussed oin 2016/04/22
    6     .1480000000000     .7467093888551  6.681112708372892E+04     Gradient Field coil is discussed on 2018/01/25 (Hitachi EDS No. 276, Fig.2)
    7     .1480000000000     .7748383686469  4.021844293316797E+04
    8     .1480000000000     .8029673484388  3.197526382068274E+04
    9     .1480000000000     .8310963282306  3.622333444642927E+04
   10     .1480000000000     .8592253080224  4.275728246667284E+04
   11     .1480000000000     .8873542878143  4.461363476302215E+04
   12     .1480000000000     .9154832676061  4.061260869737001E+04
   13     .1480000000000     .9436122473979  3.341352386702063E+04
   14     .1577257050106     .9665777715048  3.071981068187821E+04
   15     .1810260087423     .9823364310334  3.184239345766461E+04
   16     .2043263124740     .9980950905621  2.933541180251961E+04
   17     .2276266162057    1.0138537500908  2.737841621008951E+04
   18     .2509269199373    1.0296124096195  3.166094217041202E+04
   19     .2742272236690    1.0453710691481  4.096900977205646E+04
   20     .2975275274007    1.0611297286768  4.527987125023868E+04
   21     .3208278311324    1.0768883882055  3.989178132765253E+04
   22     .3441281348641    1.0926470477342  3.178072820094815E+04
   23     .3700040661328    1.1000000000000  2.730747785969735E+04
   24     .3981330459246    1.1000000000000  2.606243000590874E+04
   25     .4262620257165    1.1000000000000  2.584030684072823E+04
   26     .4543910055083    1.1000000000000  2.095643758627925E+04
   27     .4825199853001    1.1000000000000  1.326062063542080E+04
   28     .5106489650920    1.1000000000000  1.265370125954063E+04
   29     .5387779448838    1.1000000000000  2.142143325782712E+04
   30     .5669069246756    1.1000000000000  3.037186638041694E+04
   31     .5950359044675    1.1000000000000  3.220767269117120E+04
   32     .6231648842593    1.1000000000000  2.865982466982968E+04
   33     .6512938640511    1.1000000000000  2.503266859630091E+04
   34     .6794228438430    1.1000000000000  2.435482336202214E+04
   35     .7075518236348    1.1000000000000  2.662119490858312E+04
   36     .7356808034266    1.1000000000000  3.041890346577104E+04
   37     .7638097832185    1.1000000000000  3.429735813222422E+04
   38     .7919387630103    1.1000000000000  3.731758131793271E+04
   39     .8200677428021    1.1000000000000  3.908227351004282E+04
   40     .8481967225940    1.1000000000000  3.957720550114221E+04
   41     .8763257023858    1.1000000000000  3.899726821686024E+04
   42     .9044546821776    1.1000000000000  3.761714736907476E+04
   43     .9325836619695    1.1000000000000  3.571255226727029E+04
   44     .9607126417613    1.1000000000000  3.352059023952124E+04
   45     .9888416215532    1.1000000000000  3.122559514838287E+04
   46    1.0169706013450    1.1000000000000  2.895923760194466E+04
   47    1.0450995811368    1.1000000000000  2.680772257466965E+04
   48    1.0732285609287    1.1000000000000  2.482116565362209E+04
   49    1.1013575407205    1.1000000000000  2.302299592201475E+04
   50    1.1294865205123    1.1000000000000  2.141828754728048E+04
   51    1.1576155003042    1.1000000000000  2.000007893816551E+04
   52    1.1857444800960    1.1000000000000  1.875449308634848E+04
   53    1.2138734598878    1.1000000000000  1.766414479794659E+04
   54    1.2420024396797    1.1000000000000  1.671060851081778E+04
   55    1.2701314194715    1.1000000000000  1.587584525959364E+04
   56    1.2982603992633    1.1000000000000  1.514305173095214E+04
   57    1.3263893790552    1.1000000000000  1.449728745078695E+04
   58    1.3545183588470    1.1000000000000  1.392538379916269E+04
   59    1.3826473386388    1.1000000000000  1.341613541509945E+04
   60    1.4107763184307    1.1000000000000  1.295997019212295E+04
   61    1.4389052982225    1.1000000000000  1.254892755412092E+04
   62    1.4500000000000    1.0829657219856  1.226601367731072E+04
   63    1.4500000000000    1.0548367421938  1.201477783486238E+04
   64    1.4500000000000    1.0267077624020  1.172411751979708E+04
   65    1.4500000000000     .9985787826101  1.139828717350206E+04
   66    1.4500000000000     .9704498028183  1.104333502134142E+04
   67    1.4500000000000     .9423208230265  1.066669337427822E+04
   68    1.4500000000000     .9141918432346  1.027723876329654E+04
   69    1.4500000000000     .8860628634428  9.884699624539908E+03
   70    1.4500000000000     .8579338836510  9.499338948551424E+03
   71    1.4500000000000     .8298049038591  9.131044015576346E+03
   72    1.4500000000000     .8016759240673  8.788718975501484E+03
   73    1.4500000000000     .7735469442755  8.479157441988318E+03
   74    1.4500000000000     .7454179644836  8.206391651154960E+03
   75    1.4500000000000     .7172889846918  7.970793860122612E+03
   76    1.4500000000000     .6891600049000  7.768641100729229E+03
   77    1.4500000000000     .6610310251081  7.592017301450138E+03
   78    1.4500000000000     .6329020453163  7.429240606309551E+03
   79    1.4500000000000     .6047730655245  7.265487760159386E+03
   80    1.4500000000000     .5766440857326  7.084703777049104E+03
   81    1.4500000000000     .5485151059408  6.871067971026516E+03
   82    1.4500000000000     .5203861261489  6.611357037703059E+03
   83    1.4500000000000     .4922571463571  6.297166898179338E+03
   84    1.4500000000000     .4641281665653  5.926723313407859E+03
   85    1.4500000000000     .4359991867734  5.506349047244126E+03
   86    1.4500000000000     .4078702069816  5.050762525841536E+03
   87    1.4500000000000     .3797412271898  4.582302427888190E+03
   88    1.4500000000000     .3516122473979  4.129318970478269E+03
   89    1.4500000000000     .3234832676061  3.722733716055183E+03
   90    1.4500000000000     .2953542878143  3.392590366744849E+03
   91    1.4500000000000     .2672253080224  3.163869136016948E+03
